ticker
CXO
DEG
LTR
LKE
BRN
IMU
PRU
SBM
TLX
CRN
PDN
SFR
TYR
PBH
CCX
CHN
AVZ
GL1
DYL
BOE
PEN
AGY
LRS
VUL
SYA
EMN
PLL
AKE
NVX
MP1
WBT
LPD
RMS
SLR
DEV
ARU
GT1
TMT
KGL
KLI
SPQ
GAL
FFX
IVZ
